Input Size,Insertion Sort Time,Merge Sort Time,Tim Sort Time
1,1.391e-07,1.571e-07,3.712e-07
6,8.443e-07,4.7855e-06,9.476e-07
11,2.6433e-06,1.02631e-05,2.746e-06
16,4.2958e-06,1.61097e-05,4.3668e-06
21,8.6035e-06,2.23746e-05,9.4071e-06
26,1.26563e-05,2.89096e-05,1.25412e-05
31,1.29158e-05,3.53953e-05,1.27887e-05
36,1.8284e-05,4.31195e-05,1.80861e-05
41,2.72728e-05,4.88803e-05,2.68462e-05
46,3.76059e-05,5.66521e-05,3.62954e-05
51,4.09025e-05,6.3842e-05,2.911e-05
56,4.80162e-05,7.11337e-05,3.50824e-05
61,5.75229e-05,7.86642e-05,3.61662e-05
66,6.78087e-05,8.54374e-05,4.79424e-05
71,7.17521e-05,9.20771e-05,5.10246e-05
76,8.72292e-05,0.0001009903,5.07729e-05
81,8.80862e-05,0.0001082575,6.12625e-05
86,0.000123863,0.0001166551,7.64596e-05
91,0.0001403551,0.00012315,8.25546e-05
96,0.0001405618,0.0001310813,8.87379e-05
101,0.0001514929,0.0001383488,7.77401e-05
106,0.0001839462,0.0001478962,7.54066e-05
111,0.000179824,0.0001549237,7.93373e-05
116,0.0001917694,0.0001626162,8.50133e-05
121,0.0002263449,0.0001699324,9.45804e-05
126,0.000238487,0.0001817704,9.38763e-05
131,0.0002366954,0.0001850013,9.99333e-05
136,0.0002891745,0.0001986754,0.0001169813
141,0.000305417,0.0002059758,0.0001114625
146,0.0003143133,0.0002116582,0.0001250998
151,0.0003552846,0.0002186132,0.0001318888
156,0.0003995183,0.0002260588,0.0001341053
161,0.0004071167,0.0002349583,0.0001452315
166,0.0004102761,0.0002426546,0.0001551017
171,0.0005065629,0.0002773929,0.0001637412
176,0.0004246383,0.0002588379,0.0001635217
181,0.0004825063,0.0002668408,0.0001782788
186,0.000543065,0.000274594,0.0001715103
191,0.0005553245,0.0002830183,0.0001836396
196,0.0005627279,0.0002930321,0.0001968074
201,0.0005850867,0.0002997003,0.0001933495
206,0.0006376349,0.0003089062,0.0001706574
211,0.0006946128,0.0003170649,0.0001707821
216,0.00069688,0.0003269188,0.0001817588
221,0.0007286525,0.0003335078,0.0001857478
226,0.0007575025,0.0003428134,0.0001949063
231,0.0007319959,0.0003525509,0.0001931476
236,0.0008146634,0.0003592222,0.0001958196
241,0.0008896517,0.000367891,0.0002130809
246,0.000857801,0.0003768163,0.0002139612
251,0.0009456042,0.0003853171,0.00021718
256,0.0009580942,0.0003934592,0.0002238309
261,0.00103067,0.0004010024,0.0002387037
266,0.0011008475,0.0004120554,0.000250713
271,0.0010228196,0.0004210958,0.0002571491
276,0.0011778687,0.000433017,0.0002642145
281,0.0011827433,0.0004496,0.0002950584
286,0.0012581667,0.0004561321,0.0002935284
291,0.0012962149,0.0004654651,0.0002941896
296,0.0013499537,0.0004742334,0.0002952272
301,0.0013870775,0.0004832776,0.000299608
306,0.0014104276,0.0004933701,0.0003205183
311,0.0014454788,0.0005037613,0.0003123021
316,0.0016159421,0.0005146833,0.0003270958
321,0.0015080125,0.00052394,0.0003473829
326,0.0015373716,0.0005340833,0.0003620612
331,0.0017601475,0.0005432074,0.0003730446
336,0.001787665,0.0005553262,0.0003890121
341,0.0017664817,0.0005650579,0.0003836171
346,0.0018418046,0.0005767087,0.0003908876
