Input Size,Insertion Sort Time,Merge Sort Time,Tim Sort Time
1,1.309e-07,1.554e-07,3.692e-07
6,1.1101e-06,4.9359e-06,1.2397e-06
11,2.5454e-06,1.01277e-05,2.6335e-06
16,4.9568e-06,1.60376e-05,4.8983e-06
21,8.2355e-06,2.22763e-05,8.4804e-06
26,1.31546e-05,2.94887e-05,1.29909e-05
31,1.64079e-05,3.62537e-05,1.63584e-05
36,2.06566e-05,4.26999e-05,1.98991e-05
41,2.25328e-05,5.14433e-05,2.2237e-05
46,3.57512e-05,5.68992e-05,3.5362e-05
51,3.78475e-05,6.33008e-05,3.62324e-05
56,5.42124e-05,7.18879e-05,5.1337e-05
61,6.15225e-05,7.7965e-05,6.08304e-05
66,6.74129e-05,8.53366e-05,6.58507e-05
71,7.41616e-05,9.24108e-05,7.28299e-05
76,9.29816e-05,9.97388e-05,9.15095e-05
81,8.95237e-05,0.000107245,8.83141e-05
86,0.0001237142,0.0001145205,7.37559e-05
91,0.0001249766,0.0001215305,7.24946e-05
96,0.0001376909,0.0001298896,8.38089e-05
101,0.0001596146,0.0001376725,9.15471e-05
106,0.0001920553,0.0001460824,0.0001062416
111,0.0001672482,0.0001534661,9.82916e-05
116,0.0002151354,0.0001614308,0.0001196733
121,0.0002309524,0.0001693158,0.0001276895
126,0.0002442637,0.0001769841,0.0001457467
131,0.0002542476,0.0001835217,0.0001442559
136,0.0002927346,0.0001932163,0.0001770762
141,0.0002659467,0.000200947,0.0001584641
146,0.0003537358,0.0002082045,0.0001779537
151,0.0003351474,0.0002161357,0.0002049603
156,0.0003325191,0.0002243778,0.0001895838
161,0.0003741783,0.0002304071,0.0002044441
166,0.0004339446,0.0002392578,0.0002361325
171,0.0004136642,0.0002501992,0.0001943375
176,0.0004532967,0.0002569343,0.0001637289
181,0.0004846312,0.0002655554,0.0001691082
186,0.0005329496,0.0002718558,0.0001717595
191,0.0005586671,0.0002822633,0.0001906425
196,0.0005666779,0.0002899066,0.0002041625
201,0.0005377983,0.0002967979,0.0001950845
206,0.0006140724,0.0003067965,0.0002137874
211,0.0006747129,0.0003151495,0.0002236115
216,0.0006922454,0.0003220103,0.0002343967
221,0.0006993229,0.0003322946,0.0002409779
226,0.0008014001,0.0003410321,0.0002554409
231,0.0007458458,0.0003490863,0.000261678
236,0.0008301433,0.0003573138,0.000278138
241,0.0008480722,0.0003646376,0.0002857393
246,0.0008570005,0.0003729679,0.0002891409
251,0.0009293305,0.0003810279,0.0003116857
256,0.0009527491,0.0003924687,0.0003138196
261,0.0009601821,0.0003989588,0.0003111395
266,0.0009102846,0.0004084545,0.0003204004
271,0.0010136533,0.0004207578,0.0003562412
276,0.001075277,0.0004298225,0.0003495992
281,0.0011818813,0.0004397304,0.0003828175
286,0.0011239417,0.0004511796,0.000392345
291,0.00124182,0.0004612684,0.0004141805
296,0.0012617771,0.0004689749,0.0004352108
301,0.0013159091,0.0004797496,0.0004164217
306,0.0014623725,0.0004917254,0.0004714295
311,0.0014686989,0.0005007904,0.0004673779
316,0.0014157088,0.0005080729,0.0004765996
321,0.0015251529,0.0005201762,0.0004772474
326,0.0016146934,0.000528919,0.0005061483
331,0.0016582309,0.0005397459,0.000542945
336,0.0018390924,0.000551235,0.0005473449
341,0.0017295824,0.0005609509,0.000545031
346,0.0018385104,0.0006114009,0.0005045029
