Input Size,Insertion Sort Time,Merge Sort Time,Tim Sort Time
1,1.521e-07,1.642e-07,3.917e-07
6,1.0467e-06,5.0525e-06,1.193e-06
11,2.7272e-06,1.06493e-05,2.8013e-06
16,4.9939e-06,1.6965e-05,5.0951e-06
21,8.9809e-06,2.31521e-05,8.5859e-06
26,1.24592e-05,2.95791e-05,1.24054e-05
31,1.86812e-05,3.53862e-05,1.84358e-05
36,1.80021e-05,4.25212e-05,1.83541e-05
41,2.38899e-05,4.9235e-05,2.35028e-05
46,3.32016e-05,5.72753e-05,3.31974e-05
51,3.96732e-05,6.41112e-05,3.93204e-05
56,4.97854e-05,7.09221e-05,4.97645e-05
61,5.90558e-05,7.97296e-05,5.79412e-05
66,5.91749e-05,8.80675e-05,5.98567e-05
71,9.50329e-05,9.82225e-05,8.81967e-05
76,9.71763e-05,0.0001021454,9.46908e-05
81,9.33095e-05,0.0001097609,9.24492e-05
86,0.0001128538,0.0001164763,0.0001069117
91,0.0001191622,0.000126641,0.0001182917
96,0.0001283513,0.0001322226,0.0001270947
101,0.0001470917,0.0001390955,0.0001445455
106,0.0001740163,0.0001472503,0.0001707166
111,0.0002033908,0.0001553908,0.0001999128
116,0.000207887,0.0001649433,0.0002024571
121,0.0002100563,0.0001762908,0.0002142178
126,0.0002677849,0.0001802162,0.000256072
131,0.0002560063,0.0001860855,0.0002517125
136,0.0002615771,0.000194058,0.0002554442
141,0.0003012846,0.000202152,0.0002956491
146,0.0003208621,0.0002090741,0.0003140254
151,0.0003656033,0.0002190746,0.0003634604
156,0.000372865,0.0002266975,0.0003652645
161,0.0003865221,0.0002353236,0.0003782183
166,0.0004037037,0.0002435934,0.0003946028
171,0.0004472033,0.00025167,0.0004373142
176,0.0004755505,0.0002601325,0.0004649159
181,0.0005222139,0.000265853,0.0005124072
186,0.0005083404,0.0002760392,0.0004981242
191,0.0005008233,0.0002879397,0.0004908075
196,0.0005236896,0.0002937032,0.0005123312
201,0.0006023145,0.0003023233,0.0003151232
206,0.0006146366,0.000308732,0.0003377687
211,0.0006779096,0.0003173229,0.0003802516
216,0.0006624383,0.0003259178,0.0003653533
221,0.0007003566,0.0003380074,0.0004057512
226,0.0007182316,0.0003430233,0.0003965341
231,0.000765838,0.0003510113,0.0004050409
236,0.0008690089,0.0003597198,0.0004272563
241,0.0008552189,0.0003684325,0.0004389201
246,0.0009322579,0.0003766526,0.000492456
251,0.0008455968,0.0003837612,0.0004863676
256,0.0009145516,0.0003938124,0.0005371349
261,0.0010355479,0.0004015443,0.0005350284
266,0.0010527217,0.0004128728,0.0005596037
271,0.0010564746,0.0004216371,0.00056509
276,0.0011012183,0.0004355105,0.0005844812
281,0.0012388888,0.0004438471,0.0006538134
286,0.0011937033,0.0004537429,0.0006429385
291,0.0011784267,0.0004639696,0.0006242209
296,0.0013572092,0.000475625,0.0007113058
301,0.001273475,0.0004845263,0.0007100305
306,0.0013568079,0.0004936387,0.0007716725
311,0.0015209262,0.0005049996,0.0008190521
316,0.0014585155,0.0005141029,0.000809547
321,0.0015665446,0.0005239338,0.0008368566
326,0.0015621,0.0005351913,0.0007750979
331,0.0015803497,0.0005468716,0.000838398
336,0.0017996054,0.0005551041,0.0009611895
341,0.0018326312,0.0005648033,0.0009381596
346,0.0017858654,0.000577835,0.000997872
