Input Size,Insertion Sort Time,Merge Sort Time,Tim Sort Time
1,1.326e-07,1.563e-07,3.726e-07
6,8.634e-07,4.7996e-06,9.905e-07
11,2.5226e-06,1.01168e-05,3.5513e-06
16,4.423e-06,1.60022e-05,5.1438e-06
21,6.5067e-06,2.24934e-05,8.6954e-06
26,1.44433e-05,2.88088e-05,1.25817e-05
31,1.56454e-05,3.53196e-05,1.47376e-05
36,2.42558e-05,4.23665e-05,1.73008e-05
41,2.72829e-05,4.94391e-05,2.20295e-05
46,3.48058e-05,5.68965e-05,2.82166e-05
51,4.0275e-05,6.31501e-05,3.10067e-05
56,4.88833e-05,7.21695e-05,3.353e-05
61,5.98341e-05,7.79062e-05,3.78483e-05
66,7.06362e-05,8.50511e-05,4.05191e-05
71,8.98358e-05,9.24512e-05,4.50025e-05
76,8.5325e-05,0.0001008595,4.71084e-05
81,9.83583e-05,0.000107472,5.22254e-05
86,0.0001173385,0.0001172855,6.07102e-05
91,0.0001447075,0.0001254401,6.92009e-05
96,0.0001466547,0.0001322459,7.42784e-05
101,0.0001535525,0.0001387696,7.31317e-05
106,0.000169332,0.0001448737,7.68641e-05
111,0.0001993891,0.0001538871,8.13695e-05
116,0.0002169115,0.0001609674,8.35491e-05
121,0.0002179941,0.0001689662,8.84907e-05
126,0.000255982,0.0001767882,9.13604e-05
131,0.0002744291,0.0001842504,9.768e-05
136,0.0002735445,0.0001930767,0.0001016141
141,0.0002945666,0.0002004057,0.0001037488
146,0.0003416649,0.0002087886,0.0001084845
151,0.0003221095,0.0002170979,0.0001131787
156,0.0003486212,0.0002239412,0.0001226908
161,0.0003974329,0.000235225,0.0001209883
166,0.0004050295,0.0002419717,0.0001333975
171,0.0004231792,0.0002497296,0.0001425637
176,0.0004267734,0.000256848,0.0001508955
181,0.0004514399,0.00026605,0.0001548254
186,0.000504523,0.000287792,0.0001620717
191,0.0005289833,0.0002824849,0.0001657578
196,0.0005520004,0.0002917104,0.0001687325
201,0.0006013128,0.0002993707,0.0001714128
206,0.000666822,0.0003069241,0.000177392
211,0.0006480161,0.0003171707,0.00018132
216,0.0006113195,0.0003241125,0.0001869091
221,0.0007650526,0.0003329417,0.0001881959
226,0.0007779667,0.0003409342,0.0001946038
231,0.0008394126,0.0003917275,0.0001984389
236,0.000767368,0.0003569101,0.0002021588
241,0.0008052263,0.000365463,0.0002068918
246,0.0009398534,0.0003737651,0.0002112584
251,0.0009389826,0.0003822468,0.0002145059
256,0.0009606291,0.0003915312,0.0002186999
261,0.000974197,0.0004021296,0.0002287546
266,0.0009416326,0.0004101324,0.0002299462
271,0.0010396074,0.000419798,0.0002362
276,0.0011693458,0.0004319901,0.0002438263
281,0.0010427883,0.000439868,0.000246658
286,0.0012584734,0.0004510087,0.0002562147
291,0.0013131163,0.0004607949,0.0002579209
296,0.0012721467,0.0004737089,0.0002622147
301,0.0013405739,0.0004820692,0.0002732171
306,0.0013648263,0.0004924837,0.0002796525
311,0.0015037708,0.0005027028,0.0002844324
316,0.00146511,0.0005108143,0.0002868603
321,0.0014673042,0.0005226658,0.0002980578
326,0.0015518303,0.0005342354,0.000304693
331,0.0016817108,0.0005422792,0.000319665
336,0.0017409616,0.0005537995,0.0003312609
341,0.0018055554,0.0005639166,0.0003450049
346,0.0018574758,0.0005736216,0.0003552804
